<start> geh . <end>	<start> go . <end>
<start> sie haben tom gefangen . <end>	<start> they captured tom . <end>
<start> sie schoben tom ab . <end>	<start> they deported tom . <end>
<start> sie haben es wieder getan . <end>	<start> they did it again . <end>
<start> sie verstehen es nicht . <end>	<start> they do not get it . <end>
<start> die verstehen das nicht . <end>	<start> they do not get it . <end>
<start> sie horen nicht zu . <end>	<start> they do not listen . <end>
<start> die horen nicht zu . <end>	<start> they do not listen . <end>
<start> sie tranken kaffee . <end>	<start> they drank coffee . <end>
<start> sie haben tom hingerichtet . <end>	<start> they executed tom . <end>
<start> sie fuhlten sich bedroht . <end>	<start> they felt menaced . <end>
<start> sie folgten tom . <end>	<start> they followed tom . <end>
<start> sie sind dir gefolgt . <end>	<start> they followed you . <end>
<start> sie sind ihnen gefolgt . <end>	<start> they followed you . <end>
<start> sie sind euch gefolgt . <end>	<start> they followed you . <end>
<start> sie jagten fuchse . <end>	<start> they hunted foxes . <end>
<start> sie haben einfach angehalten . <end>	<start> they just stopped . <end>
<start> sie haben einfach aufgehort . <end>	<start> they just stopped . <end>
<start> sie haben mich gekidnappt . <end>	<start> they kidnapped me . <end>
<start> sie wussten nichts . <end>	<start> they knew nothing . <end>
<start> sie wussten von nichts . <end>	<start> they knew nothing . <end>
<start> sie wissen nichts . <end>	<start> they know nothing . <end>
<start> sie sehen gesund aus . <end>	<start> they look healthy . <end>
<start> sie sehen aus wie wir . <end>	<start> they look like us . <end>
<start> sie haben viel verpasst . <end>	<start> they missed a lot . <end>
<start> sie haben tom ermordet . <end>	<start> they murdered tom . <end>
<start> sie mussen tot sein . <end>	<start> they must be dead . <end>
<start> sie bezahlen tom gut . <end>	<start> they pay tom well . <end>
<start> sie rannten uns hinterher . <end>	<start> they ran after us . <end>
<start> sie rannten an tom vorbei . <end>	<start> they ran past tom . <end>
<start> sie haben tom entlassen . <end>	<start> they released tom . <end>
<start> sie haben gesagt , das gehe in ordnung . <end>	<start> they said it is ok . <end>
<start> sie sangen richtig . <end>	<start> they sang in tune . <end>
<start> sie sprachen franzosisch . <end>	<start> they spoke french . <end>
<start> sie folterten tom . <end>	<start> they tortured tom . <end>
<start> sie wollen es wiederhaben . <end>	<start> they want it back . <end>
<start> sie wollen sie wiederhaben . <end>	<start> they want it back . <end>
<start> sie wollen ihn wiederhaben . <end>	<start> they want it back . <end>
<start> sie wollen kommen . <end>	<start> they want to come . <end>
<start> sie wollen helfen . <end>	<start> they want to help . <end>
<start> er wollte beweise sehen . <end>	<start> they wanted proof . <end>
<start> sie gingen fischen . <end>	<start> they went fishing . <end>
<start> sie gingen angeln . <end>	<start> they went fishing . <end>
<start> sie gingen nach drauayen . <end>	<start> they went outside . <end>
<start> sie gingen wellenreiten . <end>	<start> they went surfing . <end>
<start> sie gingen surfen . <end>	<start> they went surfing . <end>
<start> sie waren verlobt . <end>	<start> they were engaged . <end>
<start> sie waren freunde . <end>	<start> they were friends . <end>
<start> sie keuchten . <end>	<start> they were panting . <end>
<start> sie waren perfekt . <end>	<start> they were perfect . <end>
<start> sie waren schockiert . <end>	<start> they were shocked . <end>
<start> sie saayen in der falle . <end>	<start> they were trapped . <end>
<start> sie waren besorgt . <end>	<start> they were worried . <end>
<start> sie werden uberleben . <end>	<start> they will survive . <end>
<start> sie wurden nicht lugen . <end>	<start> they would not lie . <end>
<start> sie werden angst haben . <end>	<start> they will be afraid . <end>
<start> sie werden sich furchten . <end>	<start> they will be afraid . <end>
<start> sie werden das mogen . <end>	<start> they will like that . <end>
<start> sie werden das gernhaben . <end>	<start> they will love that . <end>
<start> die werden das lieben . <end>	<start> they will love that . <end>
<start> sie werden hilfe brauchen . <end>	<start> they will need help . <end>
<start> sie werden verhandeln . <end>	<start> they will negotiate . <end>
<start> sie werden es erneut versuchen . <end>	<start> they will try again . <end>
<start> sie sind kanadier . <end>	<start> they are canadians . <end>
<start> sie verfolgen dich . <end>	<start> they are after you . <end>
<start> die sind hinter dir her . <end>	<start> they are after you . <end>
<start> sie sind schon . <end>	<start> they are beautiful . <end>
<start> beide sind tot . <end>	<start> they are both dead . <end>
<start> sie sind beide tot . <end>	<start> they are both dead . <end>
<start> den beiden geht s gut . <end>	<start> they are both fine . <end>
<start> sie sind beide gut . <end>	<start> they are both good . <end>
<start> das sind kannibalen . <end>	<start> they are cannibals . <end>
<start> sie sind anders . <end>	<start> they are different . <end>
<start> sie sind teuer . <end>	<start> they are expensive . <end>
<start> sie sind identisch . <end>	<start> they are identical . <end>
<start> sie sind beeindruckt . <end>	<start> they are impressed . <end>
<start> sie sind in boston . <end>	<start> they are in boston . <end>
<start> sie sind in gefahr . <end>	<start> they are in danger . <end>
<start> sie horen zu . <end>	<start> they are listening . <end>
<start> das sind morder . <end>	<start> they are murderers . <end>
<start> sie sind nicht glucklich . <end>	<start> they are not happy . <end>
<start> sie sind nicht dort . <end>	<start> they are not there . <end>
<start> sie sind jetzt allein . <end>	<start> they are now alone . <end>
<start> sie sind uberrascht . <end>	<start> they are surprised . <end>
<start> sie benutzen dich . <end>	<start> they are using you . <end>
<start> sie sind sehr beschaftigt . <end>	<start> they are very busy . <end>
<start> sie sind sehr brav . <end>	<start> they are very good . <end>
<start> sie sind wunderbar . <end>	<start> they are wonderful . <end>
<start> sie sind wundervoll . <end>	<start> they are wonderful . <end>
<start> er ist entlassen worden . <end>	<start> they ve fired him . <end>
<start> sie haben sich nie getroffen . <end>	<start> they ve never met . <end>
<start> sie sind sich nie begegnet . <end>	<start> they ve never met . <end>
<start> sie haben tom mitgenommen . <end>	<start> they ve taken tom . <end>
<start> sie haben tom genommen . <end>	<start> they ve taken tom . <end>
<start> dinge konnen sich andern . <end>	<start> things can change . <end>
<start> diese cd kostet zehn dollar . <end>	<start> this cd costs . <end>
<start> das ist nicht normal . <end>	<start> this ain t normal . <end>
<start> dieser apfel ist schlecht . <end>	<start> this apple is bad . <end>
<start> dieser vogel kann fliegen . <end>	<start> this bird can fly . <end>
<start> dieses buch ist das ihrige . <end>	<start> this book is hers . <end>
<start> dieses buch gehort ihr . <end>	<start> this book is hers . <end>
<start> dieses buch ist ihrs . <end>	<start> this book is hers . <end>
<start> dieses buch ist ihres . <end>	<start> this book is hers . <end>
<start> dieses buch ist das ihre . <end>	<start> this book is hers . <end>
<start> das buch gehort mir . <end>	<start> this book is mine . <end>
<start> dieses buch ist meins . <end>	<start> this book is mine . <end>
<start> das buch war neu . <end>	<start> this book was new . <end>
<start> dieses buch wird s tun . <end>	<start> this book will do . <end>
<start> diese kiste ist schwer . <end>	<start> this box is heavy . <end>
<start> dieser eimer leckt . <end>	<start> this bucket leaks . <end>
<start> dieser eimer ist undicht . <end>	<start> this bucket leaks . <end>
<start> das ist fur dich gekommen . <end>	<start> this came for you . <end>
<start> dieses auto gehort tom . <end>	<start> this car is tom s . <end>
<start> dieses auto ist schwarz . <end>	<start> this car is black . <end>
<start> dieser mantel ist warm . <end>	<start> this coat is warm . <end>
<start> das betrifft dich . <end>	<start> this concerns you . <end>
<start> das betrifft euch . <end>	<start> this concerns you . <end>
<start> das betrifft sie . <end>	<start> this concerns you . <end>
<start> das ist toms tasse . <end>	<start> this cup is tom s . <end>
<start> dieser schreibtisch ist gut . <end>	<start> this desk is good . <end>
<start> dies brennt nicht . <end>	<start> this does not burn . <end>
<start> dies kann nicht brennen . <end>	<start> this does not burn . <end>
<start> dieser hund gehort tom . <end>	<start> this dog is tom s . <end>
<start> dieser hund ist weiay . <end>	<start> this dog is white . <end>
<start> dieses ei ist frisch . <end>	<start> this egg is fresh . <end>
<start> das gold gehort mir . <end>	<start> this gold is mine . <end>
<start> das ist toms auto . <end>	<start> this is tom s car . <end>
<start> das ist toms wagen . <end>	<start> this is tom s car . <end>
<start> das ist die katze von tom . <end>	<start> this is tom s cat . <end>
<start> dies ist toms hund . <end>	<start> this is tom s dog . <end>
<start> das ist eine kokosnuss . <end>	<start> this is a coconut . <end>
<start> das ist ein fehler . <end>	<start> this is a mistake . <end>
<start> dies ist ein bild . <end>	<start> this is a picture . <end>
<start> das hier ist ein bild . <end>	<start> this is a picture . <end>
<start> ich ubernehme die rechnung . <end>	<start> this is all on me . <end>
<start> das geht alles auf mich . <end>	<start> this is all on me . <end>
<start> das ist alles falsch . <end>	<start> this is all wrong . <end>
<start> das hier ist ein adverb . <end>	<start> this is an adverb . <end>
<start> das verwirrt nur . <end>	<start> this is confusing . <end>
<start> das ist kostlich . <end>	<start> this is delicious . <end>
<start> das ist anders . <end>	<start> this is different . <end>
<start> das ist schwierig . <end>	<start> this is difficult . <end>
<start> das ist schwer . <end>	<start> this is difficult . <end>
<start> das ist gutes fleisch . <end>	<start> this is good meat . <end>
<start> dieses fleisch ist gut . <end>	<start> this is good meat . <end>
<start> das sind gute neuigkeiten . <end>	<start> this is good news . <end>
<start> das ist eine gute nachricht . <end>	<start> this is good news . <end>
<start> das ist ihr haus . <end>	<start> this is her house . <end>
<start> das ist sein haus . <end>	<start> this is his house . <end>
<start> das ist falsch . <end>	<start> this is incorrect . <end>
<start> dies ist falsch . <end>	<start> this is incorrect . <end>
<start> das ist berechtigt . <end>	<start> this is justified . <end>
<start> das ist gerechtfertigt . <end>	<start> this is justified . <end>
<start> das ist lachhaft . <end>	<start> this is ludicrous . <end>
<start> das ist lacherlich . <end>	<start> this is ludicrous . <end>
<start> das ist mein rat . <end>	<start> this is my advice . <end>
<start> das ist mein cousin . <end>	<start> this is my cousin . <end>
<start> das ist meine familie . <end>	<start> this is my family . <end>
<start> das ist mein vater . <end>	<start> this is my father . <end>
<start> das hier ist mein vater . <end>	<start> this is my father . <end>
<start> das ist mein freund . <end>	<start> this is my friend . <end>
<start> das ist meine mutter . <end>	<start> this is my mother . <end>
<start> das ist mein buro . <end>	<start> this is my office . <end>
<start> das ist mein bleistift . <end>	<start> this is my pencil . <end>
<start> dies ist mein bleistift . <end>	<start> this is my pencil . <end>
<start> das ist meine schule . <end>	<start> this is my school . <end>
<start> das ist meine schwester . <end>	<start> this is my sister . <end>
<start> das ist mir neu . <end>	<start> this is new to me . <end>
<start> das ist nicht komisch . <end>	<start> this is not funny . <end>
<start> das ist nicht lustig . <end>	<start> this is not funny . <end>
<start> das ist olivenol . <end>	<start> this is olive oil . <end>
<start> das ist unser haus . <end>	<start> this is our house . <end>
<start> das ist sinnlos . <end>	<start> this is pointless . <end>
<start> das ist unbezahlbar . <end>	<start> this is priceless . <end>
<start> das ist so langweilig . <end>	<start> this is so boring . <end>
<start> das sind spaghetti . <end>	<start> this is spaghetti . <end>
<start> das ist zu kurz . <end>	<start> this is too short . <end>
<start> das ist zu klein . <end>	<start> this is too small . <end>
<start> das ist sehr leicht . <end>	<start> this is very easy . <end>
<start> das ist sehr einfach . <end>	<start> this is very easy . <end>
<start> das ist sehr gut . <end>	<start> this is very good . <end>
<start> das ist dein buch . <end>	<start> this is your book . <end>
<start> das ist dein schicksal . <end>	<start> this is your fate . <end>
<start> das ist ihr schicksal . <end>	<start> this is your fate . <end>
<start> das ist euer schicksal . <end>	<start> this is your fate . <end>
<start> das ist deine haltestelle . <end>	<start> this is your stop . <end>
<start> dies ist dein wein . <end>	<start> this is your wine . <end>
<start> das ist kein franzosisch . <end>	<start> this is not french . <end>
<start> das hier ist kein spiel . <end>	<start> this is not a game . <end>
<start> das ist kein witz . <end>	<start> this is not a joke . <end>
<start> das ist nichts fur mich . <end>	<start> this is not for me . <end>
<start> das ist nicht fur mich . <end>	<start> this is not for me . <end>
<start> das ist nicht meine tasche . <end>	<start> this is not my bag . <end>
<start> das ist nicht mein auto . <end>	<start> this is not my car . <end>
<start> das ist nicht mein schlussel . <end>	<start> this is not my key . <end>
<start> das ist nicht normal . <end>	<start> this is not normal . <end>
<start> das ist kein silber . <end>	<start> this is not silver . <end>
<start> das macht mich traurig . <end>	<start> this makes me sad . <end>
<start> dieses fleisch ist gut . <end>	<start> this meat is good . <end>
<start> dieser ist toms . <end>	<start> this one is tom s . <end>
<start> der geht auf mich ! <end>	<start> this one is on me . <end>
<start> dieser ist kaputt . <end>	<start> this one s broken . <end>
<start> dieser ist fur mich . <end>	<start> this one s for me . <end>
<start> dieses flugzeug gehort ihm . <end>	<start> this plane is his . <end>
<start> dieses zimmer ist kalt . <end>	<start> this room is cold . <end>
<start> das da sind meine katzen . <end>	<start> those are my cats . <end>
<start> diese sind zu groay . <end>	<start> those are too big . <end>
<start> die gehoren mir nicht . <end>	<start> those are not mine . <end>
<start> es sind drei leute gekommen . <end>	<start> three people came . <end>
<start> heute ist samstag . <end>	<start> today is saturday . <end>
<start> heute ist sonnabend . <end>	<start> today is saturday . <end>
<start> heute ist donnerstag . <end>	<start> today is thursday . <end>
<start> tom bestand den test mit links . <end>	<start> tom aced the test . <end>
<start> tom hat das zugegeben . <end>	<start> tom admitted that . <end>
<start> tom ist fast erstickt . <end>	<start> tom almost choked . <end>
<start> tom lachelte fast . <end>	<start> tom almost smiled . <end>
<start> tom hat beinahe gelachelt . <end>	<start> tom almost smiled . <end>
<start> tom weiay es bereits . <end>	<start> tom already knows . <end>
<start> tom stimmt immer zu . <end>	<start> tom always agrees . <end>
<start> tom ist immer einverstanden . <end>	<start> tom always agrees . <end>
<start> tom schnarcht immer . <end>	<start> tom always snores . <end>
<start> tom hat zuruckgeantwortet . <end>	<start> tom answered back . <end>
<start> tom antwortete zuruck . <end>	<start> tom answered back . <end>
<start> tom schien beschaftigt zu sein . <end>	<start> tom appeared busy . <end>
<start> tom hatte wohl zu tun . <end>	<start> tom appeared busy . <end>
<start> tom schien ruhig zu sein . <end>	<start> tom appeared calm . <end>
<start> tom stimmte dem zu . <end>	<start> tom approved that . <end>
<start> tom kam fruh an . <end>	<start> tom arrived early . <end>
<start> tom kam zuerst an . <end>	<start> tom arrived first . <end>
<start> tom kommt heute an . <end>	<start> tom arrives today . <end>
<start> tom hat alles aufgegessen . <end>	<start> tom ate all of it . <end>
<start> tom fruhstuckte . <end>	<start> tom ate breakfast . <end>
<start> tom hat meinen keks gegessen . <end>	<start> tom ate my cookie . <end>
<start> tom aay einen apfel . <end>	<start> tom ate one apple . <end>
<start> tom hat etwas gegessen . <end>	<start> tom ate something . <end>
<start> tom aay den apfel . <end>	<start> tom ate the apple . <end>
<start> tom griff maria an . <end>	<start> tom attacked mary . <end>
<start> tom hat muffins gebacken . <end>	<start> tom baked muffins . <end>
<start> tom wurde angstlich . <end>	<start> tom became afraid . <end>
<start> tom bekam angst . <end>	<start> tom became afraid . <end>
<start> tom wurde beruhmt . <end>	<start> tom became famous . <end>
<start> tom wurde mude . <end>	<start> tom became sleepy . <end>
<start> tom wurde unruhig . <end>	<start> tom became uneasy . <end>
<start> tom begann zu keuchen . <end>	<start> tom began gasping . <end>
<start> tom begann zu beten . <end>	<start> tom began praying . <end>
<start> tom fing an zu rennen . <end>	<start> tom began running . <end>
<start> tom begann zu singen . <end>	<start> tom began singing . <end>
<start> tom begann zu reden . <end>	<start> tom began talking . <end>
<start> tom setzte sich in bewegung . <end>	<start> tom began to move . <end>
<start> tom fing an zu singen . <end>	<start> tom began to sing . <end>
<start> tom sang los . <end>	<start> tom began to sing . <end>
<start> tom fing an zu sprechen . <end>	<start> tom began to talk . <end>
<start> tom fing an zu arbeiten . <end>	<start> tom began working . <end>
<start> tom benahm sich schlecht . <end>	<start> tom behaved badly . <end>
<start> tom glaubte maria . <end>	<start> tom believed mary . <end>
<start> tom glaubt maria . <end>	<start> tom believes mary . <end>
<start> tom glaubt das . <end>	<start> tom believes that . <end>
<start> tom verriet maria . <end>	<start> tom betrayed mary . <end>
<start> tom fahrt mit dem fahrrad zur arbeit . <end>	<start> tom bikes to work . <end>
<start> tom hat wieder mit den augen gezwinkert . <end>	<start> tom blinked again . <end>
<start> tom blinzelte erneut . <end>	<start> tom blinked again . <end>
<start> tom wurde wieder rot . <end>	<start> tom blushed again . <end>
<start> tom ist wieder errotet . <end>	<start> tom blushed again . <end>
<start> tom hat sich meinen geliehen . <end>	<start> tom borrowed mine . <end>
<start> tom hat sich meinen ausgeborgt . <end>	<start> tom borrowed mine . <end>
<start> tom kaufte ein buch . <end>	<start> tom bought a book . <end>
<start> tom hat sich den arm gebrochen . <end>	<start> tom broke his arm . <end>
<start> tom brach sich den arm . <end>	<start> tom broke his arm . <end>
<start> tom brach sich das bein . <end>	<start> tom broke his leg . <end>
<start> tom hat sich das bein gebrochen . <end>	<start> tom broke his leg . <end>
<start> tom hat mir die nase gebrochen . <end>	<start> tom broke my nose . <end>
<start> tom zerbrach die tasse . <end>	<start> tom broke the cup . <end>
<start> tom verstieay gegen das gesetz . <end>	<start> tom broke the law . <end>
<start> tom nervt jeden . <end>	<start> tom bugs everyone . <end>
<start> tom rulpste laut . <end>	<start> tom burped loudly . <end>
<start> tom hat mich fett genannt . <end>	<start> tom called me fat . <end>
<start> tom kam vorbereitet . <end>	<start> tom came prepared . <end>
<start> tom kam zu besuch . <end>	<start> tom came to visit . <end>
<start> tom kam um zuzusehen . <end>	<start> tom came to watch . <end>
<start> tom kam zu spat . <end>	<start> tom came too late . <end>
<start> tom kam nach oben . <end>	<start> tom came upstairs . <end>
<start> tom darf auch kommen . <end>	<start> tom can come , too . <end>
<start> tom kann jetzt fahren . <end>	<start> tom can drive now . <end>
<start> tom kann damit umgehen . <end>	<start> tom can handle it . <end>
<start> tom kann es bewaltigen . <end>	<start> tom can handle it . <end>
<start> tom kann gut lesen . <end>	<start> tom can read well . <end>
<start> tom kann hierbleiben . <end>	<start> tom can stay here . <end>
<start> tom kann schnell schwimmen . <end>	<start> tom can swim fast . <end>
<start> tom kann nicht krank sein . <end>	<start> tom cannot be sick . <end>
<start> tom kann mich nicht schlagen . <end>	<start> tom cannot beat me . <end>
<start> tom kann das nicht . <end>	<start> tom cannot do that . <end>
<start> tom schafft das nicht . <end>	<start> tom cannot do this . <end>
<start> tom kann nicht anders . <end>	<start> tom cannot help it . <end>
<start> tom kann nichts dafur . <end>	<start> tom cannot help it . <end>
<start> tom kann doch nichts dafur . <end>	<start> tom cannot help it . <end>
<start> tom kann mir nicht helfen . <end>	<start> tom cannot help me . <end>
<start> tom kann mich nicht verletzen . <end>	<start> tom cannot hurt me . <end>
<start> tom kann mir nicht wehtun . <end>	<start> tom cannot hurt me . <end>
<start> tom kann sich nicht mit dir treffen . <end>	<start> tom cannot see you . <end>
<start> tom kann nicht damit aufhoren . <end>	<start> tom cannot stop it . <end>
<start> tom kann es nicht aufhalten . <end>	<start> tom cannot stop it . <end>
<start> tom kann mich nicht aufhalten . <end>	<start> tom cannot stop me . <end>
<start> tom kann nicht pfeifen . <end>	<start> tom cannot whistle . <end>
<start> tom hat sich erkaltet . <end>	<start> tom caught a cold . <end>
<start> tom hat einen fisch gefangen . <end>	<start> tom caught a fish . <end>
<start> tom fing einen fisch . <end>	<start> tom caught a fish . <end>
<start> toms gesichtsfarbe anderte sich . <end>	<start> tom changed color . <end>
<start> tom hat einen ruckzieher gemacht . <end>	<start> tom chickened out . <end>
<start> tom hat gekniffen . <end>	<start> tom chickened out . <end>
<start> tom hat es mit der angst zu tun bekommen . <end>	<start> tom chickened out . <end>
<start> tom entschied sich zu warten . <end>	<start> tom chose to wait . <end>
<start> tom behauptet , er habe gewonnen . <end>	<start> tom claims he won . <end>
<start> tom hat es in betracht gezogen . <end>	<start> tom considered it . <end>
<start> tom dachte daruber nach . <end>	<start> tom considered it . <end>
<start> tom kochte das mittagessen . <end>	<start> tom cooked dinner . <end>
<start> tom kochte das abendessen . <end>	<start> tom cooked dinner . <end>
<start> tom hustete wieder . <end>	<start> tom coughed again . <end>
<start> tom hat wieder gehustet . <end>	<start> tom coughed again . <end>
<start> tom konnte tot sein . <end>	<start> tom could be dead . <end>
<start> tom konnte das machen . <end>	<start> tom could do that . <end>
<start> tom kann das . <end>	<start> tom could do this . <end>
<start> tom konnte tot sein . <end>	<start> tom could ve died . <end>
<start> tom konnte gestorben sein . <end>	<start> tom could ve died . <end>
<start> tom hatte gehen konnen . <end>	<start> tom could ve gone . <end>
<start> tom konnte nicht helfen . <end>	<start> tom could not help . <end>
<start> tom konnte sich nicht bewegen . <end>	<start> tom could not move . <end>
<start> tom konnte nicht ruhen . <end>	<start> tom could not rest . <end>
<start> tom konnte nicht aufhoren . <end>	<start> tom could not stop . <end>
<start> tom konnte nicht schwimmen . <end>	<start> tom could not swim . <end>
<start> tom war nicht in der lage zu schwimmen . <end>	<start> tom could not swim . <end>
<start> tom konnte nicht sprechen . <end>	<start> tom could not talk . <end>
<start> tom konnte nicht gehen . <end>	<start> tom could not walk . <end>
<start> tom fluchte laut . <end>	<start> tom cursed loudly . <end>
<start> tom verlangte mehr . <end>	<start> tom demanded more . <end>
<start> tom hat das verdient . <end>	<start> tom deserved that . <end>
<start> tom verdient mehr . <end>	<start> tom deserves more . <end>
<start> tom verdient das . <end>	<start> tom deserves that . <end>
<start> tom hat das verdient . <end>	<start> tom deserves that . <end>
<start> tom verdient das . <end>	<start> tom deserves this . <end>
<start> tom hat das verdient . <end>	<start> tom deserves this . <end>
<start> tom hat das entworfen . <end>	<start> tom designed this . <end>
<start> tom hielt nicht viel von mary . <end>	<start> tom despised mary . <end>
<start> tom verachtet mary . <end>	<start> tom despises mary . <end>
<start> tom verschmaht mary . <end>	<start> tom despises mary . <end>
<start> tom hat schlechte arbeit geleistet . <end>	<start> tom did a bad job . <end>
<start> tom hat es trotzdem getan . <end>	<start> tom did it anyway . <end>
<start> tom hat es fur mich getan . <end>	<start> tom did it for me . <end>
<start> tom hat das gut gemacht . <end>	<start> tom did that well . <end>
<start> tom antwortete nicht . <end>	<start> tom did not answer . <end>
<start> tom erschien nicht . <end>	<start> tom did not appear . <end>
<start> tom hat es mir nicht abgekauft . <end>	<start> tom did not buy it . <end>
<start> tom hat es nicht gekauft . <end>	<start> tom did not buy it . <end>
<start> tom wich nicht zuruck . <end>	<start> tom did not flinch . <end>
<start> tom zuckte nicht zusammen . <end>	<start> tom did not flinch . <end>
<start> tom folgte nicht nach . <end>	<start> tom did not follow . <end>
<start> tom hat nicht zugehort . <end>	<start> tom did not listen . <end>
<start> tom hatte keine einwande . <end>	<start> tom did not object . <end>
<start> tom leistete keinen widerstand . <end>	<start> tom did not resist . <end>
<start> tom kehrte nicht zuruck . <end>	<start> tom did not return . <end>
<start> tom schrie nicht . <end>	<start> tom did not scream . <end>
<start> tom hat nicht geschrien . <end>	<start> tom did not scream . <end>
<start> tom hat es nicht gesehen . <end>	<start> tom did not see it . <end>
<start> tom hat mich nicht gesehen . <end>	<start> tom did not see me . <end>
<start> tom hat nicht gelitten . <end>	<start> tom did not suffer . <end>
<start> tom starb als bettler . <end>	<start> tom died a beggar . <end>
<start> tom ist arm gestorben . <end>	<start> tom died a pauper . <end>
<start> tom ist kurzlich gestorben . <end>	<start> tom died recently . <end>
<start> tom ist plotzlich gestorben . <end>	<start> tom died suddenly . <end>
<start> tom lieay sich von mary scheiden . <end>	<start> tom divorced mary . <end>
<start> tom mag dich . <end>	<start> tom does like you . <end>
<start> tom liebt dich wirklich . <end>	<start> tom does love you . <end>
<start> tom stimmt nicht zu . <end>	<start> tom does not agree . <end>
<start> tom ist nicht einverstanden . <end>	<start> tom does not agree . <end>
<start> tom trinkt nicht . <end>	<start> tom does not drink . <end>
<start> tom fahrt nicht . <end>	<start> tom does not drive . <end>
<start> tom fahrt nicht auto . <end>	<start> tom does not drive . <end>
<start> tom rasiert sich nicht . <end>	<start> tom does not shave . <end>
<start> tom raucht nicht . <end>	<start> tom does not smoke . <end>
<start> tom schnarcht nicht . <end>	<start> tom does not snore . <end>
<start> tom hat blut gespendet . <end>	<start> tom donated blood . <end>
<start> tom war ein starker trinker . <end>	<start> tom drank heavily . <end>
<start> tom zeichnete einen apfel . <end>	<start> tom drew an apple . <end>
<start> tom fahrt einen ford . <end>	<start> tom drives a ford . <end>
<start> tom fahrt einen suv . <end>	<start> tom drives an suv . <end>
<start> tom fahrt sicher . <end>	<start> tom drives safely . <end>
<start> tom fahrt langsam . <end>	<start> tom drives slowly . <end>
<start> tom fuhr den ganzen tag . <end>	<start> tom drove all day . <end>
<start> tom hat mich nach hause gefahren . <end>	<start> tom drove me home . <end>
<start> tom saay am steuer . <end>	<start> tom drove the car . <end>
<start> tom hat sich die haare gefarbt . <end>	<start> tom dyed his hair . <end>
<start> tom isst alles . <end>	<start> tom eats anything . <end>
<start> tom isst zu schnell . <end>	<start> tom eats too fast . <end>
<start> tom isst zu hastig . <end>	<start> tom eats too fast . <end>
<start> tom sieht gerne filme . <end>	<start> tom enjoys movies . <end>
<start> tom genieayt filme . <end>	<start> tom enjoys movies . <end>
<start> tom genieayt die schule . <end>	<start> tom enjoys school . <end>
<start> tom geht gern in die schule . <end>	<start> tom enjoys school . <end>
<start> tom hat mehr erwartet . <end>	<start> tom expected more . <end>
<start> tom futterte das pferd . <end>	<start> tom fed the horse . <end>
<start> tom hat die schafe gefuttert . <end>	<start> tom fed the sheep . <end>
<start> tom hat das schaf gefuttert . <end>	<start> tom fed the sheep . <end>
<start> tom futterte das schaf . <end>	<start> tom fed the sheep . <end>
<start> tom futterte die schafe . <end>	<start> tom fed the sheep . <end>
<start> tom fuhlte sich betrogen . <end>	<start> tom felt betrayed . <end>
<start> tom war verwirrt . <end>	<start> tom felt confused . <end>
<start> tom fuhlte sich ausgeschlossen . <end>	<start> tom felt excluded . <end>
<start> tom kam sich hilflos vor . <end>	<start> tom felt helpless . <end>
<start> tom hatte heimweh . <end>	<start> tom felt homesick . <end>
<start> tom war ubel . <end>	<start> tom felt nauseous . <end>
<start> tom fuhlte sich gut vorbereitet . <end>	<start> tom felt prepared . <end>
<start> tom fuhlte sich zuruckgestoayen . <end>	<start> tom felt repulsed . <end>
<start> tom fuhlte sich abgestoayen . <end>	<start> tom felt repulsed . <end>
<start> tom fuhlte sich schrecklich . <end>	<start> tom felt terrible . <end>
<start> tom fuhlte sich groayartig . <end>	<start> tom felt terrific . <end>
<start> tom sprach endlich . <end>	<start> tom finally spoke . <end>
<start> tom hat endlich geredet . <end>	<start> tom finally spoke . <end>
<start> tom wurde letzter . <end>	<start> tom finished last . <end>
<start> tom hat den fehler behoben . <end>	<start> tom fixed the bug . <end>
<start> tom folgte maria . <end>	<start> tom followed mary . <end>
<start> tom hat mein fahrrad gefunden . <end>	<start> tom found my bike . <end>
<start> tom fand nichts . <end>	<start> tom found nothing . <end>
<start> tom hat mich erschreckt . <end>	<start> tom frightened me . <end>
<start> tom hat zugenommen . <end>	<start> tom gained weight . <end>
<start> tom nahm an gewicht zu . <end>	<start> tom gained weight . <end>
<start> tom hielt eine rede . <end>	<start> tom gave a speech . <end>
<start> tom hat es einmal versucht . <end>	<start> tom gave it a try . <end>
<start> tom versuchte es einmal . <end>	<start> tom gave it a try . <end>
<start> tom hat es mir gegeben . <end>	<start> tom gave it to me . <end>
<start> tom hat es uns gegeben . <end>	<start> tom gave it to us . <end>
<start> tom druckte mich . <end>	<start> tom gave me a hug . <end>
<start> tom hat mich umarmt . <end>	<start> tom gave me a hug . <end>
<start> tom gab mir einen schlussel . <end>	<start> tom gave me a key . <end>
<start> tom gab mir einen stift . <end>	<start> tom gave me a pen . <end>
<start> tom hat mir einen stift gegeben . <end>	<start> tom gave me a pen . <end>
<start> tom steht fruh auf . <end>	<start> tom gets up early . <end>
<start> tom kicherte wieder . <end>	<start> tom giggled again . <end>
<start> tom stimmte gerne zu . <end>	<start> tom gladly agreed . <end>
<start> tom hat gerne zugestimmt . <end>	<start> tom gladly agreed . <end>
<start> tom hat sich die haare schneiden lassen . <end>	<start> tom got a haircut . <end>
<start> tom hat eine neue stelle . <end>	<start> tom got a new job . <end>
<start> tom wurde deprimiert . <end>	<start> tom got depressed . <end>
